"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"IN","Indiana","43-5071","Shipping, receiving, and traffic clerks",NA,"18850","13.53","28130"
"MA","Massachusetts","43-5071","Shipping, receiving, and traffic clerks",NA,"18850","15.40","32030"
"OH","Ohio","31-9092","Medical assistants",NA,"18860","12.47","25930"
"OH","Ohio","15-1031","Computer software engineers, applications",NA,"18860","37.29","77560"
"KS","Kansas","53-7062","Laborers and freight, stock, and material movers, hand",NA,"18870","11.17","23220"
"TX","Texas","41-2022","Parts salespersons",NA,"18870","14.30","29740"
"LA","Louisiana","43-1011","First-line supervisors/managers of office and administrative support workers",NA,"18870","18.32","38110"
"IN","Indiana","13-2011","Accountants and auditors",NA,"18890","27.84","57910"
"ID","Idaho","35-2012","Cooks, institution and cafeteria",NA,"1890","10.34","21500"
"CO","Colorado","51-6031","Sewing machine operators",NA,"1890","10.87","22610"
"VA","Virginia","51-6064","Textile winding, twisting, and drawing out machine setters, operators, and tenders",NA,"1890","11.11","23120"
"NV","Nevada","47-3015","Helpers--pipelayers, plumbers, pipefitters, and steamfitters",NA,"1890","14.10","29340"
"PA","Pennsylvania","43-4031","Court, municipal, and license clerks",NA,"1890","15.23","31670"
"AZ","Arizona","49-9052","Telecommunications line installers and repairers",NA,"1890","15.42","32070"
"IA","Iowa","51-8031","Water and liquid waste treatment plant and system operators",NA,"1890","16.73","34810"
"IN","Indiana","13-2021","Appraisers and assessors of real estate",NA,"1890","16.88","35100"
"MI","Michigan","43-3061","Procurement clerks",NA,"1890","17.02","35400"
"MD","Maryland","25-9099","Education, training, and library workers, all other",NA,"1890","17.61","36620"
"SC","South Carolina","49-3021","Automotive body and related repairers",NA,"1890","17.76","36940"
"NY","New York","39-6012","Concierges",NA,"1890","17.89","37210"
"MD","Maryland","43-3061","Procurement clerks",NA,"1890","18.22","37890"
"MS","Mississippi","49-9051","Electrical power-line installers and repairers",NA,"1890","19.62","40810"
"PA","Pennsylvania","49-9062","Medical equipment repairers",NA,"1890","20.09","41790"
"WA","Washington","53-5011","Sailors and marine oilers",NA,"1890","20.18","41980"
"WI","Wisconsin","27-3041","Editors",NA,"1890","21.30","44310"
"TN","Tennessee","49-9044","Millwrights",NA,"1890","21.58","44880"
"OH","Ohio","13-2021","Appraisers and assessors of real estate",NA,"1890","23.52","48920"
"SC","South Carolina","49-2022","Telecommunications equipment installers and repairers, except line installers",NA,"1890","23.80","49490"
"IN","Indiana","13-1022","Wholesale and retail buyers, except farm products",NA,"1890","24.49","50940"
